Date,Days to race,Previous Night's Sleep (hours),Deep Sleep,WHOOP Sleep,WHOOP Deep Sleep,Weight (pounds),Body Fat,BMI,Run type,Distance (miles),Time,Average Pace (min/mile),Average HR (bpm),Max HR,WHOOP Max HR,Average Cadence (spm),Average Stride Length (m),Temperature (F),Humidity (%),Calories required (low),Calories actual,Calories required (high),Calories burned,Net calories,Carbs required (g),Carbs actual (g),Carbs %,Fat required (g),Fat actual (g),Protein required (g),Protein actual (g),Breakfast,Lunch,Dinner,Post workout carbs (grams - low),Post workout carbs (grams - high),Post workout carbs (grams - actual),Post workout protein ideal (grams),Post workout protein - actual (grams),General aerobic runs,Threshold runs,Medium long runs,Recovery runs,Long runs
,,7:52:47,1:24:32,,,,,,,"1,408.20",1:12:53,0:08:50,150,180,183,168,1.10,,,21.0,"3,304",25,"1,091",176.3,3.0,"71,865.6",,0.6,"12,966.80",0.6,"18,047.9",,,,,,,,,,,,,
7/15/2020,,7:41:00,1:24:00,,,187.6,16.9,,Recovery,5.05,0:51:52,0:10:16,148,,,160,,,,"3,939.6","3,203","4,690",896,230.7,562.8,404.1,,112.6,117.50,112.6,158.9,Oatmeal,Brown rice & crumbles with spinach,Spaghetti,94,141,157,39.3,24.2,,,,0:10:16,
7/16/2020,,6:43:00,1:01:00,,,188.7,,,General aerobic,7.99,1:16:34,0:09:34,146,,,161,,,,"3,962.7","3,003","4,718","1,296",170.7,566.1,361.9,,113.2,91.10,113.2,149.7,Oatmeal,Brown rice & crumbles with spinach,Brown rice & soup,94,142,138,34.5,23.2,0:09:34,,,,
7/17/2020,,8:14:00,2:09:00,,,188.9,,,Rest,0.00,0,,,,,,,,,"3,966.9","2,773","4,723",0,277.3,566.7,403.6,,113.3,76.40,113.3,123.0,Oatmeal,Yellow rice & soup with chickpeas,Fish & rice,94,142,78,19.5,32.5,,,,,
7/18/2020,,7:26:00,2:07:00,,,189.4,,,Recovery,5.04,0:49:56,0:09:55,140,,,160,,,,"3,977.4","3,468","4,735",700,276.8,568.2,485.0,,113.6,111.30,113.6,144.1,Oatmeal,Yellow rice & soup with chickpeas,Spaghetti,95,142,164,40.9,33.8,,,,0:09:55,
7/19/2020,,7:38:00,0:58:00,,,189.8,,,Medium long,14.00,2:17:10,0:09:48,143,,,159,,,,"3,985.8","4,252","4,745","2,176",207.6,569.4,576.1,,113.9,150.30,113.9,170.6,Oatmeal,Shepard's pie,Spaghetti,95,142,264,66.0,30.8,,,0:09:48,,
7/20/2020,,7:28:00,1:58:00,,,188.3,18.3,,Rest,0.00,0,,,,,,,,,"3,954.3","2,937","4,708",0,293.7,564.9,362.8,,113.0,101.80,113.0,147.1,Oatmeal,Shepard's pie,Spaghetti,94,141,102,25.5,23.8,,,,,
7/21/2020,,7:44:00,1:02:00,,,188.3,,,Threshold,8.00,1:08:22,0:08:33,160,,,162,,,,"3,954.3","3,457","4,708","1,294",216.3,564.9,502.4,,113.0,91.50,113.0,152.1,Oatmeal,Shepard's pie,Fish & rice,94,141,161,40.1,23.8,,0:08:33,,,
7/22/2020,,6:58:00,1:35:00,,,188.9,17.3,,Recovery,5.05,0:50:28,0:09:59,154,,,159,,,,"3,966.9","2,654","4,723",848,180.6,566.7,379.7,,113.3,56.60,113.3,104.2,Oatmeal,Chick salad croissant,Spaghetti,94,142,161,40.1,23.8,,,,0:09:59,
7/23/2020,,8:56:00,0:59:00,,,189.4,,,General aerobic,7.99,1:15:36,0:09:27,148,,,161,,,,"3,977.4","3,241","4,735","1,105",213.6,568.2,435.1,,113.6,85.90,113.6,100.6,,,,95,142,161,40.1,23.8,0:09:27,,,,
7/24/2020,,7:12:00,1:23:00,,,189.4,,23.5,Rest,0.00,0,,,,,,,,,"3,977.4","1,863","4,735",0,186.3,568.2,229.0,,113.6,40.10,113.6,61.2,,,,95,142,,0.0,,,,,,
7/25/2020,,6:56:00,1:48:00,,,189.4,,,,8.76,2:48:55,0:19:17,136,,,110,,,,"3,977.4","2,084","4,735","1,994",9.0,568.2,365.5,,113.6,47.80,113.6,43.1,,,,95,142,206,51.5,24.3,,,,,
7/26/2020,,8:49:00,1:23:00,,,189.4,,,Recovery,2.97,0:37:51,0:12:44,130,,,151,,,,"3,977.4","3,102","4,735",445,265.7,568.2,520.3,,113.6,58.60,113.6,142.3,,,,95,142,206,51.5,24.3,,,,0:12:44,
7/27/2020,,7:10:00,2:09:00,,,189.4,17.1,23.6,Rest,0.00,0,,,,,,,,,"3,977.4","2,700","4,735",0,270.0,568.2,428.1,,113.6,66.60,113.6,111.2,Oatmeal,Yellow rice & soup,Spaghetti,95,142,81,20.3,16.3,,,,,
7/28/2020,,7:04:00,1:23:00,,,189.2,,,Threshold,8.00,1:07:37,0:08:27,159,,,162,,,,"3,973.2","3,980","4,730","1,094",288.6,567.6,602.6,,113.5,107.80,113.5,169.7,Oatmeal,Yellow rice & soup,Spaghetti,95,142,161,40.1,23.8,,0:08:27,,,
7/29/2020,,8:51:00,1:10:00,,,189.2,,23.6,Recovery,5.04,0:49:42,0:09:51,142,,,161,,,,"3,973.2","4,010","4,730",679,333.1,567.6,583.2,,113.5,89.30,113.5,230.6,Oatmeal,Brown rice & crumbles,Brown rice & crumbles,95,142,,0.0,,,,,0:09:51,
7/30/2020,,7:54:00,1:40:00,,,188.1,17.0,23.5,General aerobic,7.99,1:11:23,0:08:56,149,,,162,,,,"3,950.1","3,438","4,703","1,218",222.0,564.3,511.2,,112.9,93.20,112.9,156.0,Oatmeal,Yellow rice & soup,Spaghetti,94,141,,0.0,,0:08:56,,,,
7/31/2020,,7:37:00,0:17:00,,,188.1,16.9,23.4,Rest,0.00,0,,,,,,,,,"3,950.1","2,410","4,703",0,241.0,564.3,450.6,,112.9,36.00,112.9,84.3,Oatmeal,Yellow rice & soup,Pancakes,94,141,,0.0,,,,,,
8/1/2020,,7:15:00,1:14:00,,,188.1,,,Medium long,9.94,1:54:33,0:11:31,145,,,152,,,,"3,950.1","3,627","4,703","1,883",174.4,564.3,542.2,,112.9,115.70,112.9,99.2,Oatmeal,Egg & cheese bagel,Pizza,94,141,,0.0,,,,0:11:31,,
8/2/2020,,10:29:00,0:48:00,,,188.1,,,Recovery,5.23,0:55:42,0:10:39,141,,,153,,,,"3,950.1","2,723","4,703",772,195.1,564.3,524.2,,112.9,40.90,112.9,70.8,Oatmeal,Pancakes,Spaghetti,94,141,,0.0,,,,,0:10:39,
8/3/2020,,6:19:00,1:34:00,,,186.5,16.6,23.3,Rest,0.00,0,,,,,,,,,"3,916.5","2,472","4,663",0,247.2,559.5,356.4,,111.9,77.40,111.9,107.6,Oatmeal,Egg sandwich,Spaghetti,93,140,0,0.0,0,,,,,
8/4/2020,,7:55:00,1:22:00,,,187.6,17.0,23.4,Threshold,8.02,1:06:16,0:08:15,159,,,165,,,,"3,939.6","3,367","4,690","1,205",216.2,562.8,556.5,,112.6,74.00,112.6,124.4,Oatmeal,Rice & soup,Brown rice & crumbles,94,141,124,31.0,11.8,,0:08:15,,,
8/5/2020,,7:18:00,2:28:00,,,187.4,17.0,23.4,Medium long,10.04,1:34:16,0:09:23,150,,,160,,,,"3,935.4","2,990","4,685","1,697",129.3,562.2,495.8,,112.4,82.30,112.4,104.4,Oatmeal,Rice & soup,Shrimp Po Boy & fries,94,141,124,31.0,11.8,,,0:09:23,,
8/6/2020,,7:34:00,2:20:00,,,186.3,17.1,23.3,Recovery,5.03,0:48:53,0:09:42,142,,,160,,,,"3,912.3","3,690","4,658",789,290.1,558.9,513.8,,111.8,115.80,111.8,148.4,Oatmeal,Brown rice & crumbles,Spaghetti,93,140,,0.0,,,,,0:09:42,
8/7/2020,,6:38:00,1:33:00,,,186.7,16.8,23.3,General aerobic,8.00,1:12:25,0:09:03,147,,,162,,,,"3,920.7","3,759","4,668","1,251",250.8,560.1,575.8,,112.0,105.30,112.0,142.1,Oatmeal,Rice & soup,Spaghetti,93,140,124,31.0,11.8,0:09:03,,,,
8/8/2020,,8:01:00,1:03:00,,,187.6,16.9,23.4,Recovery,5.07,0:57:44,0:11:22,124,,,158,,,,"3,939.6","3,163","4,690",926,223.7,562.8,437.1,,112.6,120.80,112.6,97.4,Oatmeal,Club sandwich,Shepard's pie,94,141,,0.0,,,,,0:11:22,
8/9/2020,,7:54:00,1:07:00,,,186.7,16.8,23.3,Medium long,14.00,2:11:21,0:09:23,148,,,162,,,,"3,920.7","4,093","4,668","2,299",179.4,560.1,575.3,,112.0,132.70,112.0,163.8,Oatmeal,Spaghetti,Brown rice & crumbles,93,140,169,42.2,15.2,,,0:09:23,,
8/10/2020,,8:42:00,1:32:00,,,186.3,16.8,23.3,Rest,0.00,0,,,,,,,,,"3,912.3","2,830","4,658",0,283.0,558.9,372.9,,111.8,104.50,111.8,110.9,Oatmeal,Breakfast wrap,Spaghetti,93,140,,0.0,,,,,,
8/11/2020,,7:18:00,0:32:00,,,186.5,16.8,23.3,Threshold,8.01,1:04:30,0:08:03,162,,,166,,,,"3,916.5","3,456","4,663","1,285",217.1,559.5,595.9,,111.9,79.00,111.9,115.7,Oatmeal,Rice & soup,Fish tacos & chips,93,140,178,44.5,10.8,,0:08:03,,,
